VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,09/04/2018 08:52:14 PM,09/04/2018 08:59:39 PM,1,1.2,1,N,142,48,1,7,0.5,0.5,1.25,0,0.3,9.55
2,09/04/2018 08:33:03 PM,09/04/2018 08:40:55 PM,1,1.06,1,N,113,90,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,09/04/2018 08:54:45 PM,09/04/2018 09:04:58 PM,1,1.91,1,N,211,234,2,9,0.5,0.5,0,0,0.3,10.3
1,09/04/2018 08:57:24 PM,09/04/2018 09:06:24 PM,1,1.3,1,N,161,234,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,09/04/2018 08:30:56 PM,09/04/2018 08:41:18 PM,1,1.2,1,N,239,238,1,8.5,0.5,0.5,1.96,0,0.3,11.76
1,09/04/2018 08:50:28 PM,09/04/2018 08:57:07 PM,1,1.1,1,N,239,163,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,09/04/2018 08:03:23 PM,09/04/2018 08:09:43 PM,2,1.69,1,N,144,13,1,7,0.5,0.5,2.49,0,0.3,10.79
2,09/04/2018 08:34:38 PM,09/04/2018 08:55:18 PM,2,4.26,1,N,261,230,1,16.5,0.5,0.5,3.56,0,0.3,21.36
1,09/04/2018 08:10:15 PM,09/04/2018 08:34:32 PM,1,8.1,1,N,263,138,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26
1,09/04/2018 08:06:17 PM,09/04/2018 08:19:58 PM,1,3.6,1,N,161,74,1,13,0.5,0.5,2.85,0,0.3,17.15
1,09/04/2018 08:50:42 PM,09/04/2018 08:55:21 PM,1,1.3,1,N,236,141,1,6,0.5,0.5,1.45,0,0.3,8.75
1,09/04/2018 08:59:06 PM,09/04/2018 09:01:57 PM,1,0.9,1,N,140,263,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,09/04/2018 03:12:26 PM,09/04/2018 03:35:31 PM,1,5.14,1,N,238,226,1,20.5,0.5,0.5,2,0,0.3,23.8
2,09/04/2018 08:22:02 PM,09/04/2018 08:42:09 PM,2,6.64,1,N,138,152,1,22,0.5,0.5,5.81,5.76,0.3,34.87
2,09/04/2018 08:49:45 PM,09/04/2018 08:50:55 PM,2,0.23,1,N,24,151,2,3,0.5,0.5,0,0,0.3,4.3
2,09/04/2018 08:09:27 PM,09/04/2018 08:32:34 PM,1,11.15,1,N,138,107,1,32.5,0.5,0.5,7.91,5.76,0.3,47.47
1,09/04/2018 08:47:19 PM,09/04/2018 09:15:11 PM,1,13.5,1,N,132,129,1,38.5,0.5,0.5,6,0,0.3,45.8
2,09/04/2018 08:09:58 PM,09/04/2018 08:13:42 PM,2,0.58,1,N,142,143,1,4.5,0.5,0.5,0.87,0,0.3,6.67
2,09/04/2018 08:21:37 PM,09/04/2018 08:25:11 PM,2,0.9,1,N,143,50,2,5,0.5,0.5,0,0,0.3,6.3
2,09/04/2018 08:29:04 PM,09/04/2018 08:37:38 PM,2,3.22,1,N,50,238,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,09/04/2018 08:45:26 PM,09/04/2018 08:54:28 PM,2,2.8,1,N,142,41,1,10,0.5,0.5,2.26,0,0.3,13.56
2,09/04/2018 08:56:44 PM,09/04/2018 09:10:44 PM,2,5.6,1,N,41,246,2,18,0.5,0.5,0,0,0.3,19.3
1,09/04/2018 08:12:14 PM,09/04/2018 09:03:12 PM,3,14.9,1,N,232,258,1,45,0.5,0.5,9.25,0,0.3,55.55
2,09/04/2018 08:54:54 PM,09/04/2018 09:54:18 PM,2,17.79,2,N,132,261,1,52,0,0.5,10.56,0,0.3,63.36
1,09/04/2018 08:38:49 PM,09/04/2018 09:10:54 PM,1,12.6,1,N,138,234,1,37,0.5,0.5,11,5.76,0.3,55.06
2,09/04/2018 08:44:14 PM,09/04/2018 08:47:16 PM,1,0.64,1,N,234,186,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,09/04/2018 08:16:18 PM,09/04/2018 08:32:23 PM,2,3.12,1,N,230,262,1,13.5,0.5,0.5,1.7,0,0.3,16.5
2,09/04/2018 08:38:45 PM,09/04/2018 09:02:05 PM,2,4.23,1,N,263,168,1,18,0.5,0.5,7.52,5.76,0.3,32.58
1,09/04/2018 08:06:38 PM,09/04/2018 08:16:33 PM,1,1.7,1,N,161,234,2,8.5,0.5,0.5,0,0,0.3,9.8
1,09/04/2018 08:22:33 PM,09/04/2018 08:41:53 PM,1,6.7,1,N,164,33,1,21.5,0.5,0.5,3.2,0,0.3,26
1,09/04/2018 08:56:41 PM,09/04/2018 09:03:25 PM,1,0.9,1,N,13,125,2,6.5,0.5,0.5,0,0,0.3,7.8
2,09/04/2018 07:58:39 PM,09/04/2018 08:30:38 PM,2,12.24,1,N,138,161,1,36.5,0.5,0.5,8,5.76,0.3,51.56
2,09/04/2018 08:39:30 PM,09/04/2018 08:50:11 PM,2,2.03,1,N,161,142,1,9.5,0.5,0.5,1.2,0,0.3,12
2,09/04/2018 08:50:45 PM,09/04/2018 09:21:15 PM,6,12.52,1,N,138,48,1,37,0.5,0.5,8.81,5.76,0.3,52.87
2,09/04/2018 07:57:34 PM,09/04/2018 08:02:08 PM,1,1.08,1,N,43,239,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,09/04/2018 08:05:30 PM,09/04/2018 08:19:45 PM,1,2.81,1,N,239,164,2,12,0.5,0.5,0,0,0.3,13.3
2,09/04/2018 08:21:07 PM,09/04/2018 08:27:14 PM,1,0.83,1,N,164,170,2,6,0.5,0.5,0,0,0.3,7.3
2,09/04/2018 08:29:00 PM,09/04/2018 08:34:30 PM,1,0.92,1,N,170,186,2,5.5,0.5,0.5,0,0,0.3,6.8
2,09/04/2018 08:26:39 PM,09/04/2018 08:33:25 PM,3,1.05,1,N,163,143,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,09/04/2018 08:48:57 PM,09/04/2018 08:54:54 PM,3,1.24,1,N,50,142,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,09/04/2018 08:10:15 PM,09/04/2018 08:14:55 PM,5,0.92,1,N,170,186,2,5,0.5,0.5,0,0,0.3,6.3
1,09/04/2018 08:14:58 PM,09/04/2018 08:22:21 PM,1,2.7,1,N,209,232,1,9.5,0.5,0.5,2.7,0,0.3,13.5
